algoritmo,distribuicao,n,rep,bins,lower_bound,razao_vs_lb,tempo_us,soma_tamanhos
NF,falkenauer_u120,1000,0,364,0,0.000000,2.9,303.610000
FF,falkenauer_u120,1000,0,313,0,0.000000,76.0,303.610000
BF,falkenauer_u120,1000,0,314,0,0.000000,85.2,303.610000
FFD,falkenauer_u120,1000,0,308,0,0.000000,132.6,303.610000
BFD,falkenauer_u120,1000,0,308,0,0.000000,151.7,303.610000
NF,falkenauer_u120,1000,1,348,0,0.000000,2.4,292.510000
FF,falkenauer_u120,1000,1,303,0,0.000000,73.2,292.510000
BF,falkenauer_u120,1000,1,303,0,0.000000,81.3,292.510000
FFD,falkenauer_u120,1000,1,297,0,0.000000,131.6,292.510000
BFD,falkenauer_u120,1000,1,297,0,0.000000,145.0,292.510000
NF,falkenauer_u120,1000,2,349,0,0.000000,2.3,294.160000
FF,falkenauer_u120,1000,2,304,0,0.000000,73.6,294.160000
BF,falkenauer_u120,1000,2,303,0,0.000000,85.0,294.160000
FFD,falkenauer_u120,1000,2,299,0,0.000000,131.9,294.160000
BFD,falkenauer_u120,1000,2,299,0,0.000000,146.7,294.160000
NF,falkenauer_u120,1000,3,363,0,0.000000,2.3,304.250000
FF,falkenauer_u120,1000,3,315,0,0.000000,81.5,304.250000
BF,falkenauer_u120,1000,3,314,0,0.000000,85.1,304.250000
FFD,falkenauer_u120,1000,3,309,0,0.000000,132.0,304.250000
BFD,falkenauer_u120,1000,3,309,0,0.000000,146.4,304.250000
NF,falkenauer_u120,1000,4,360,0,0.000000,2.4,298.940000
FF,falkenauer_u120,1000,4,310,0,0.000000,74.8,298.940000
BF,falkenauer_u120,1000,4,309,0,0.000000,83.9,298.940000
FFD,falkenauer_u120,1000,4,304,0,0.000000,133.1,298.940000
BFD,falkenauer_u120,1000,4,304,0,0.000000,147.3,298.940000
NF,falkenauer_u120,1000,5,364,0,0.000000,2.4,301.710000
FF,falkenauer_u120,1000,5,313,0,0.000000,75.4,301.710000
BF,falkenauer_u120,1000,5,312,0,0.000000,85.6,301.710000
FFD,falkenauer_u120,1000,5,307,0,0.000000,133.3,301.710000
BFD,falkenauer_u120,1000,5,307,0,0.000000,152.9,301.710000
NF,falkenauer_u120,1000,6,359,0,0.000000,2.6,299.470000
FF,falkenauer_u120,1000,6,312,0,0.000000,75.1,299.470000
BF,falkenauer_u120,1000,6,310,0,0.000000,84.2,299.470000
FFD,falkenauer_u120,1000,6,304,0,0.000000,132.5,299.470000
BFD,falkenauer_u120,1000,6,304,0,0.000000,145.7,299.470000
NF,falkenauer_u120,1000,7,352,0,0.000000,2.6,295.110000
FF,falkenauer_u120,1000,7,305,0,0.000000,78.0,295.110000
BF,falkenauer_u120,1000,7,306,0,0.000000,82.2,295.110000
FFD,falkenauer_u120,1000,7,300,0,0.000000,140.1,295.110000
BFD,falkenauer_u120,1000,7,300,0,0.000000,150.5,295.110000
NF,falkenauer_u120,1000,8,359,0,0.000000,2.5,299.070000
FF,falkenauer_u120,1000,8,309,0,0.000000,74.0,299.070000
BF,falkenauer_u120,1000,8,308,0,0.000000,83.6,299.070000
FFD,falkenauer_u120,1000,8,304,0,0.000000,131.9,299.070000
BFD,falkenauer_u120,1000,8,304,0,0.000000,147.7,299.070000
NF,falkenauer_u120,1000,9,357,0,0.000000,2.6,298.970000
FF,falkenauer_u120,1000,9,310,0,0.000000,74.6,298.970000
BF,falkenauer_u120,1000,9,310,0,0.000000,84.1,298.970000
FFD,falkenauer_u120,1000,9,305,0,0.000000,133.1,298.970000
BFD,falkenauer_u120,1000,9,305,0,0.000000,148.4,298.970000
NF,falkenauer_u120,16000,0,5750,0,0.000000,39.4,4801.700000
FF,falkenauer_u120,16000,0,4955,0,0.000000,16486.8,4801.700000
BF,falkenauer_u120,16000,0,4947,0,0.000000,16272.4,4801.700000
FFD,falkenauer_u120,16000,0,4872,0,0.000000,20601.6,4801.700000
BFD,falkenauer_u120,16000,0,4872,0,0.000000,22160.5,4801.700000
