algoritmo,distribuicao,n,rep,bins,lower_bound,razao_vs_lb,tempo_us,soma_tamanhos
NF,falkenauer_u120,1000,0,364,0,0.000000,5,303.61
FF,falkenauer_u120,1000,0,313,0,0.000000,142,303.61
BF,falkenauer_u120,1000,0,314,0,0.000000,215,303.61
FFD,falkenauer_u120,1000,0,308,0,0.000000,197,303.61
BFD,falkenauer_u120,1000,0,308,0,0.000000,307,303.61
NF,falkenauer_u120,1000,1,348,0,0.000000,4,292.51
FF,falkenauer_u120,1000,1,303,0,0.000000,137,292.51
BF,falkenauer_u120,1000,1,303,0,0.000000,208,292.51
FFD,falkenauer_u120,1000,1,297,0,0.000000,248,292.51
BFD,falkenauer_u120,1000,1,297,0,0.000000,335,292.51
NF,falkenauer_u120,1000,2,349,0,0.000000,3,294.16
FF,falkenauer_u120,1000,2,304,0,0.000000,161,294.16
BF,falkenauer_u120,1000,2,303,0,0.000000,366,294.16
FFD,falkenauer_u120,1000,2,299,0,0.000000,172,294.16
BFD,falkenauer_u120,1000,2,299,0,0.000000,194,294.16
NF,falkenauer_u120,1000,3,363,0,0.000000,3,304.25
FF,falkenauer_u120,1000,3,315,0,0.000000,141,304.25
BF,falkenauer_u120,1000,3,314,0,0.000000,142,304.25
FFD,falkenauer_u120,1000,3,309,0,0.000000,114,304.25
BFD,falkenauer_u120,1000,3,309,0,0.000000,122,304.25
NF,falkenauer_u120,1000,4,360,0,0.000000,2,298.94
FF,falkenauer_u120,1000,4,310,0,0.000000,79,298.94
BF,falkenauer_u120,1000,4,309,0,0.000000,88,298.94
FFD,falkenauer_u120,1000,4,304,0,0.000000,105,298.94
BFD,falkenauer_u120,1000,4,304,0,0.000000,113,298.94
NF,falkenauer_u120,1000,5,364,0,0.000000,2,301.71
FF,falkenauer_u120,1000,5,313,0,0.000000,76,301.71
BF,falkenauer_u120,1000,5,312,0,0.000000,86,301.71
FFD,falkenauer_u120,1000,5,307,0,0.000000,117,301.71
BFD,falkenauer_u120,1000,5,307,0,0.000000,118,301.71
NF,falkenauer_u120,1000,6,359,0,0.000000,2,299.47
FF,falkenauer_u120,1000,6,312,0,0.000000,88,299.47
BF,falkenauer_u120,1000,6,310,0,0.000000,85,299.47
FFD,falkenauer_u120,1000,6,304,0,0.000000,103,299.47
BFD,falkenauer_u120,1000,6,304,0,0.000000,118,299.47
NF,falkenauer_u120,1000,7,352,0,0.000000,2,295.11
FF,falkenauer_u120,1000,7,305,0,0.000000,75,295.11
BF,falkenauer_u120,1000,7,306,0,0.000000,86,295.11
FFD,falkenauer_u120,1000,7,300,0,0.000000,102,295.11
BFD,falkenauer_u120,1000,7,300,0,0.000000,120,295.11
NF,falkenauer_u120,1000,8,359,0,0.000000,2,299.07
FF,falkenauer_u120,1000,8,309,0,0.000000,84,299.07
BF,falkenauer_u120,1000,8,308,0,0.000000,85,299.07
FFD,falkenauer_u120,1000,8,304,0,0.000000,114,299.07
BFD,falkenauer_u120,1000,8,304,0,0.000000,116,299.07
NF,falkenauer_u120,1000,9,357,0,0.000000,2,298.97
FF,falkenauer_u120,1000,9,310,0,0.000000,78,298.97
BF,falkenauer_u120,1000,9,310,0,0.000000,85,298.97
FFD,falkenauer_u120,1000,9,305,0,0.000000,117,298.97
BFD,falkenauer_u120,1000,9,305,0,0.000000,114,298.97
NF,falkenauer_u120,16000,0,5750,0,0.000000,43,4801.7
FF,falkenauer_u120,16000,0,4955,0,0.000000,16148,4801.7
BF,falkenauer_u120,16000,0,4947,0,0.000000,16332,4801.7
FFD,falkenauer_u120,16000,0,4872,0,0.000000,19087,4801.7
BFD,falkenauer_u120,16000,0,4872,0,0.000000,21711,4801.7
NF,falkenauer_u120,16000,1,5757,0,0.000000,42,4812.11
FF,falkenauer_u120,16000,1,4963,0,0.000000,16205,4812.11
BF,falkenauer_u120,16000,1,4961,0,0.000000,16745,4812.11
FFD,falkenauer_u120,16000,1,4881,0,0.000000,20360,4812.11
BFD,falkenauer_u120,16000,1,4881,0,0.000000,21630,4812.11
NF,falkenauer_u120,16000,2,5716,0,0.000000,48,4780.81
FF,falkenauer_u120,16000,2,4933,0,0.000000,16392,4780.81
BF,falkenauer_u120,16000,2,4931,0,0.000000,16348,4780.81
FFD,falkenauer_u120,16000,2,4850,0,0.000000,19033,4780.81
BFD,falkenauer_u120,16000,2,4850,0,0.000000,21879,4780.81
NF,falkenauer_u120,16000,3,5751,0,0.000000,39,4801.14
FF,falkenauer_u120,16000,3,4952,0,0.000000,16155,4801.14
BF,falkenauer_u120,16000,3,4946,0,0.000000,16388,4801.14
FFD,falkenauer_u120,16000,3,4870,0,0.000000,19637,4801.14
BFD,falkenauer_u120,16000,3,4870,0,0.000000,22081,4801.14
NF,falkenauer_u120,16000,4,5711,0,0.000000,54,4782
FF,falkenauer_u120,16000,4,4933,0,0.000000,16379,4782
BF,falkenauer_u120,16000,4,4933,0,0.000000,16783,4782
FFD,falkenauer_u120,16000,4,4852,0,0.000000,19142,4782
BFD,falkenauer_u120,16000,4,4852,0,0.000000,21581,4782
NF,falkenauer_u120,16000,5,5777,0,0.000000,48,4816.62
FF,falkenauer_u120,16000,5,4968,0,0.000000,16268,4816.62
BF,falkenauer_u120,16000,5,4963,0,0.000000,16453,4816.62
FFD,falkenauer_u120,16000,5,4886,0,0.000000,19065,4816.62
BFD,falkenauer_u120,16000,5,4886,0,0.000000,22436,4816.62
NF,falkenauer_u120,16000,6,5733,0,0.000000,56,4793.49
FF,falkenauer_u120,16000,6,4945,0,0.000000,16174,4793.49
BF,falkenauer_u120,16000,6,4939,0,0.000000,16417,4793.49
FFD,falkenauer_u120,16000,6,4862,0,0.000000,19007,4793.49
BFD,falkenauer_u120,16000,6,4862,0,0.000000,21658,4793.49
NF,falkenauer_u120,16000,7,5780,0,0.000000,43,4811.78
FF,falkenauer_u120,16000,7,4963,0,0.000000,16271,4811.78
BF,falkenauer_u120,16000,7,4959,0,0.000000,21115,4811.78
FFD,falkenauer_u120,16000,7,4882,0,0.000000,19623,4811.78
BFD,falkenauer_u120,16000,7,4882,0,0.000000,22160,4811.78
NF,falkenauer_u120,16000,8,5780,0,0.000000,37,4814.42
FF,falkenauer_u120,16000,8,4966,0,0.000000,16628,4814.42
BF,falkenauer_u120,16000,8,4965,0,0.000000,16516,4814.42
FFD,falkenauer_u120,16000,8,4885,0,0.000000,23957,4814.42
BFD,falkenauer_u120,16000,8,4885,0,0.000000,22126,4814.42
NF,falkenauer_u120,16000,9,5785,0,0.000000,48,4817.85
FF,falkenauer_u120,16000,9,4971,0,0.000000,16270,4817.85
BF,falkenauer_u120,16000,9,4967,0,0.000000,16582,4817.85
FFD,falkenauer_u120,16000,9,4889,0,0.000000,19355,4817.85
BFD,falkenauer_u120,16000,9,4889,0,0.000000,22028,4817.85
NF,falkenauer_u120,2000,0,730,0,0.000000,5,604.91
FF,falkenauer_u120,2000,0,625,0,0.000000,271,604.91
BF,falkenauer_u120,2000,0,626,0,0.000000,294,604.91
FFD,falkenauer_u120,2000,0,614,0,0.000000,354,604.91
BFD,falkenauer_u120,2000,0,614,0,0.000000,403,604.91
NF,falkenauer_u120,2000,1,722,0,0.000000,5,603.69
