algoritmo,distribuicao,n,rep,bins,lower_bound,razao_vs_lb,tempo_us,soma_tamanhos
NF,falkenauer_u120,1000,0,364,304,1.197368,13,303.60999999999984
FF,falkenauer_u120,1000,0,313,304,1.029605,237,303.60999999999984
BF,falkenauer_u120,1000,0,314,304,1.032895,431,303.60999999999984
FFD,falkenauer_u120,1000,0,308,304,1.013158,367,303.60999999999984
BFD,falkenauer_u120,1000,0,308,304,1.013158,481,303.60999999999984
NF,falkenauer_u120,1000,1,348,293,1.187713,11,292.5099999999998
FF,falkenauer_u120,1000,1,303,293,1.034130,281,292.5099999999998
BF,falkenauer_u120,1000,1,303,293,1.034130,395,292.5099999999998
FFD,falkenauer_u120,1000,1,297,293,1.013652,408,292.5099999999998
BFD,falkenauer_u120,1000,1,297,293,1.013652,877,292.5099999999998
NF,falkenauer_u120,1000,2,349,295,1.183051,14,294.16000000000014
FF,falkenauer_u120,1000,2,304,295,1.030508,291,294.16000000000014
BF,falkenauer_u120,1000,2,303,295,1.027119,397,294.16000000000014
FFD,falkenauer_u120,1000,2,299,295,1.013559,365,294.16000000000014
BFD,falkenauer_u120,1000,2,299,295,1.013559,734,294.16000000000014
NF,falkenauer_u120,1000,3,363,305,1.190164,18,304.2500000000001
FF,falkenauer_u120,1000,3,315,305,1.032787,370,304.2500000000001
BF,falkenauer_u120,1000,3,314,305,1.029508,609,304.2500000000001
FFD,falkenauer_u120,1000,3,309,305,1.013115,513,304.2500000000001
BFD,falkenauer_u120,1000,3,309,305,1.013115,910,304.2500000000001
NF,falkenauer_u120,1000,4,360,299,1.204013,18,298.9399999999999
FF,falkenauer_u120,1000,4,310,299,1.036789,419,298.9399999999999
BF,falkenauer_u120,1000,4,309,299,1.033445,641,298.9399999999999
FFD,falkenauer_u120,1000,4,304,299,1.016722,475,298.9399999999999
BFD,falkenauer_u120,1000,4,304,299,1.016722,875,298.9399999999999
NF,falkenauer_u120,1000,5,364,302,1.205298,18,301.71
FF,falkenauer_u120,1000,5,313,302,1.036424,361,301.71
BF,falkenauer_u120,1000,5,312,302,1.033113,658,301.71
FFD,falkenauer_u120,1000,5,307,302,1.016556,470,301.71
BFD,falkenauer_u120,1000,5,307,302,1.016556,918,301.71
NF,falkenauer_u120,1000,6,359,300,1.196667,18,299.47000000000014
FF,falkenauer_u120,1000,6,312,300,1.040000,404,299.47000000000014
BF,falkenauer_u120,1000,6,310,300,1.033333,477,299.47000000000014
FFD,falkenauer_u120,1000,6,304,300,1.013333,357,299.47000000000014
BFD,falkenauer_u120,1000,6,304,300,1.013333,550,299.47000000000014
NF,falkenauer_u120,1000,7,352,296,1.189189,13,295.11000000000047
FF,falkenauer_u120,1000,7,305,296,1.030405,259,295.11000000000047
BF,falkenauer_u120,1000,7,306,296,1.033784,409,295.11000000000047
FFD,falkenauer_u120,1000,7,300,296,1.013514,373,295.11000000000047
BFD,falkenauer_u120,1000,7,300,296,1.013514,554,295.11000000000047
NF,falkenauer_u120,1000,8,359,300,1.196667,10,299.07
FF,falkenauer_u120,1000,8,309,300,1.030000,264,299.07
BF,falkenauer_u120,1000,8,308,300,1.026667,458,299.07
FFD,falkenauer_u120,1000,8,304,300,1.013333,390,299.07
BFD,falkenauer_u120,1000,8,304,300,1.013333,629,299.07
NF,falkenauer_u120,1000,9,357,299,1.193980,15,298.97
FF,falkenauer_u120,1000,9,310,299,1.036789,305,298.97
BF,falkenauer_u120,1000,9,310,299,1.036789,475,298.97
FFD,falkenauer_u120,1000,9,305,299,1.020067,403,298.97
BFD,falkenauer_u120,1000,9,305,299,1.020067,580,298.97
NF,falkenauer_u120,16000,0,5750,4802,1.197418,356,4801.6999999998625
FF,falkenauer_u120,16000,0,4955,4802,1.031862,61588,4801.6999999998625
BF,falkenauer_u120,16000,0,4947,4802,1.030196,129676,4801.6999999998625
FFD,falkenauer_u120,16000,0,4872,4802,1.014577,82454,4801.6999999998625
BFD,falkenauer_u120,16000,0,4872,4802,1.014577,127229,4801.6999999998625
NF,falkenauer_u120,16000,1,5757,4813,1.196135,283,4812.1099999998805
FF,falkenauer_u120,16000,1,4963,4813,1.031166,59225,4812.1099999998805
BF,falkenauer_u120,16000,1,4961,4813,1.030750,95581,4812.1099999998805
FFD,falkenauer_u120,16000,1,4881,4813,1.014128,103635,4812.1099999998805
BFD,falkenauer_u120,16000,1,4881,4813,1.014128,140495,4812.1099999998805
NF,falkenauer_u120,16000,2,5716,4781,1.195566,241,4780.809999999895
FF,falkenauer_u120,16000,2,4933,4781,1.031793,77119,4780.809999999895
BF,falkenauer_u120,16000,2,4931,4781,1.031374,103734,4780.809999999895
FFD,falkenauer_u120,16000,2,4850,4781,1.014432,75512,4780.809999999895
BFD,falkenauer_u120,16000,2,4850,4781,1.014432,187557,4780.809999999895
NF,falkenauer_u120,16000,3,5751,4802,1.197626,238,4801.139999999885
FF,falkenauer_u120,16000,3,4952,4802,1.031237,69118,4801.139999999885
BF,falkenauer_u120,16000,3,4946,4802,1.029988,95004,4801.139999999885
FFD,falkenauer_u120,16000,3,4870,4802,1.014161,66478,4801.139999999885
BFD,falkenauer_u120,16000,3,4870,4802,1.014161,158734,4801.139999999885
NF,falkenauer_u120,16000,4,5711,4782,1.194270,240,4781.999999999847
FF,falkenauer_u120,16000,4,4933,4782,1.031577,70824,4781.999999999847
BF,falkenauer_u120,16000,4,4933,4782,1.031577,135857,4781.999999999847
FFD,falkenauer_u120,16000,4,4852,4782,1.014638,79483,4781.999999999847
BFD,falkenauer_u120,16000,4,4852,4782,1.014638,169917,4781.999999999847
NF,falkenauer_u120,16000,5,5777,4817,1.199294,190,4816.619999999899
FF,falkenauer_u120,16000,5,4968,4817,1.031347,104379,4816.619999999899
BF,falkenauer_u120,16000,5,4963,4817,1.030309,136670,4816.619999999899
FFD,falkenauer_u120,16000,5,4886,4817,1.014324,70878,4816.619999999899
BFD,falkenauer_u120,16000,5,4886,4817,1.014324,135444,4816.619999999899
NF,falkenauer_u120,16000,6,5733,4794,1.195870,268,4793.489999999897
FF,falkenauer_u120,16000,6,4945,4794,1.031498,120079,4793.489999999897
BF,falkenauer_u120,16000,6,4939,4794,1.030246,102001,4793.489999999897
FFD,falkenauer_u120,16000,6,4862,4794,1.014184,66017,4793.489999999897
BFD,falkenauer_u120,16000,6,4862,4794,1.014184,172123,4793.489999999897
NF,falkenauer_u120,16000,7,5780,4812,1.201164,314,4811.779999999877
FF,falkenauer_u120,16000,7,4963,4812,1.031380,59121,4811.779999999877
BF,falkenauer_u120,16000,7,4959,4812,1.030549,103759,4811.779999999877
FFD,falkenauer_u120,16000,7,4882,4812,1.014547,76753,4811.779999999877
BFD,falkenauer_u120,16000,7,4882,4812,1.014547,203416,4811.779999999877
NF,falkenauer_u120,16000,8,5780,4815,1.200415,199,4814.419999999904
FF,falkenauer_u120,16000,8,4966,4815,1.031360,61207,4814.419999999904
BF,falkenauer_u120,16000,8,4965,4815,1.031153,182127,4814.419999999904
FFD,falkenauer_u120,16000,8,4885,4815,1.014538,105680,4814.419999999904
