algoritmo,distribuicao,n,rep,bins,lower_bound,razao_vs_lb,tempo_us,soma_tamanhos
NF,uniforme_continua,1000,0,688,532,1.293233,27,515.1039414343257
FF,uniforme_continua,1000,0,552,532,1.037594,211,515.1039414343257
BF,uniforme_continua,1000,0,544,532,1.022556,485,515.1039414343257
FFD,uniforme_continua,1000,0,535,532,1.005639,299,515.1039414343257
BFD,uniforme_continua,1000,0,535,532,1.005639,668,515.1039414343257
NF,uniforme_continua,1000,1,653,496,1.316532,11,493.89794241502454
FF,uniforme_continua,1000,1,522,496,1.052419,189,493.89794241502454
BF,uniforme_continua,1000,1,516,496,1.040323,442,493.89794241502454
FFD,uniforme_continua,1000,1,498,496,1.004032,257,493.89794241502454
BFD,uniforme_continua,1000,1,498,496,1.004032,639,493.89794241502454
NF,uniforme_continua,1000,2,657,508,1.293307,10,497.0356199953388
FF,uniforme_continua,1000,2,527,508,1.037402,187,497.0356199953388
BF,uniforme_continua,1000,2,517,508,1.017717,433,497.0356199953388
FFD,uniforme_continua,1000,2,508,508,1.000000,210,497.0356199953388
BFD,uniforme_continua,1000,2,508,508,1.000000,376,497.0356199953388
NF,uniforme_continua,1000,3,678,513,1.321637,7,506.0732154825846
FF,uniforme_continua,1000,3,533,513,1.038986,126,506.0732154825846
BF,uniforme_continua,1000,3,528,513,1.029240,251,506.0732154825846
FFD,uniforme_continua,1000,3,514,513,1.001949,165,506.0732154825846
BFD,uniforme_continua,1000,3,514,513,1.001949,343,506.0732154825846
NF,uniforme_continua,1000,4,671,513,1.307992,6,500.3201337214699
FF,uniforme_continua,1000,4,530,513,1.033138,115,500.3201337214699
BF,uniforme_continua,1000,4,522,513,1.017544,228,500.3201337214699
FFD,uniforme_continua,1000,4,513,513,1.000000,146,500.3201337214699
BFD,uniforme_continua,1000,4,513,513,1.000000,323,500.3201337214699
NF,uniforme_continua,1000,5,668,506,1.320158,6,500.57807593860593
FF,uniforme_continua,1000,5,528,506,1.043478,113,500.57807593860593
BF,uniforme_continua,1000,5,520,506,1.027668,225,500.57807593860593
FFD,uniforme_continua,1000,5,508,506,1.003953,151,500.57807593860593
BFD,uniforme_continua,1000,5,508,506,1.003953,321,500.57807593860593
NF,uniforme_continua,1000,6,645,492,1.310976,6,486.30224802356514
FF,uniforme_continua,1000,6,510,492,1.036585,109,486.30224802356514
BF,uniforme_continua,1000,6,505,492,1.026423,217,486.30224802356514
FFD,uniforme_continua,1000,6,492,492,1.000000,149,486.30224802356514
BFD,uniforme_continua,1000,6,492,492,1.000000,308,486.30224802356514
NF,uniforme_continua,1000,7,654,490,1.334694,7,488.40859527358117
FF,uniforme_continua,1000,7,517,490,1.055102,107,488.40859527358117
BF,uniforme_continua,1000,7,510,490,1.040816,224,488.40859527358117
FFD,uniforme_continua,1000,7,493,490,1.006122,139,488.40859527358117
BFD,uniforme_continua,1000,7,493,490,1.006122,307,488.40859527358117
NF,uniforme_continua,1000,8,660,492,1.341463,7,490.0654613520495
FF,uniforme_continua,1000,8,522,492,1.060976,108,490.0654613520495
BF,uniforme_continua,1000,8,517,492,1.050813,212,490.0654613520495
FFD,uniforme_continua,1000,8,494,492,1.004065,143,490.0654613520495
BFD,uniforme_continua,1000,8,494,492,1.004065,306,490.0654613520495
NF,uniforme_continua,1000,9,668,505,1.322772,6,501.09065390210753
FF,uniforme_continua,1000,9,527,505,1.043564,112,501.09065390210753
BF,uniforme_continua,1000,9,519,505,1.027723,216,501.09065390210753
FFD,uniforme_continua,1000,9,508,505,1.005941,143,501.09065390210753
BFD,uniforme_continua,1000,9,508,505,1.005941,313,501.09065390210753
NF,uniforme_continua,2000,0,1323,1001,1.321678,26,993.8623284497091
FF,uniforme_continua,2000,0,1036,1001,1.034965,409,993.8623284497091
